Fridrik changed his password. ID: 1234, Date: 2018-12-10 12:28:45
david ragnars booked Yaris, AB-123. Pick up date: 2018-12-12, Drop off date 2018-12-14, Date: 2018-12-10 18:50:54
matti ble booked Aygo, EG-476. Pick up date: 2018-12-14, Drop off date 2018-12-16, Date: 2018-12-10 18:51:54
andri 1 booked Yaris, AB-123. Pick up date: 2018-12-24, Drop off date 2018-12-26, Date: 2018-12-10 18:52:46
frikki 1 booked Yaris, AB-123. Pick up date: 2019-01-01, Drop off date 2019-01-02, Date: 2018-12-10 18:53:53
Matthías  Vinisson booked Land Cruiser, MA-699. Pick up date: 2019-03-04, Drop off date 2019-04-06, Date: 2018-12-10 19:47:32
Matthias finnur booked Yaris, AB-123. Pick up date: 2019-08-08, Drop off date 2019-08-09, Date: 2018-12-11 15:03:39
matthias finnur booked Passat, DE-321. Pick up date: 2019-03-04, Drop off date 2019-05-06, Date: 2018-12-12 14:53:00
Andri, ID: 6789, deleted customer matthias finnur, Date: 2018-12-12 14:56:12
david ragnars booked Passat, DE-321. Pick up date: 2019-02-02, Drop off date 2019-02-06, Date: 2018-12-12 14:58:44
Andri, ID: 6789, Added Ferrari with plate number RT-789 in Keflavík, Date: 2018-12-12 15:00:29
frikki b booked Yaris, AB-123. Pick up date: 2018-12-14, Drop off date 2018-12-16, Date: 2018-12-12 15:06:14
flakkari prakkari booked Aygo, EG-476. Pick up date: 2019-03-04, Drop off date 2019-03-05, Date: 2018-12-12 16:19:44
gunnar ingi booked Yaris, AB-123. Pick up date: 2019-03-04, Drop off date 2019-03-05, Date: 2018-12-12 17:29:37
Andri Arnarson booked Ferrari, RT-789. Pick up date: 2019-03-05, Drop off date 2019-03-06, Date: 2018-12-12 17:32:01
Matthias changed his password. ID: 4321, Date: 2018-12-12 18:37:55
Matthias, ID: 4321, deleted customer gunnar ingi, Date: 2018-12-12 18:40:44
Matthias, ID: 4321, deleted customer Matthias finnur, Date: 2018-12-12 19:53:44
dada dadaas booked Aygo, SH-380. Pick up date: 2019-05-05, Drop off date 2019-06-06, Date: 2018-12-12 23:05:47
d d booked Passat, GX-967. Pick up date: 2019-05-05, Drop off date 2019-06-06, Date: 2018-12-12 23:22:05
saas asas booked Sorento, DH-010. Pick up date: 2019-08-08, Drop off date 2019-08-10, Date: 2018-12-12 23:44:10
Matthias changed his password. ID: 4321, Date: 2018-12-13 13:28:35
Matthias changed his password. ID: 4321, Date: 2018-12-13 13:28:41
Matthias changed his password. ID: 4321, Date: 2018-12-13 13:28:43
Matthias changed his password. ID: 4321, Date: 2018-12-13 13:28:46
Matthias changed his password. ID: 4321, Date: 2018-12-13 13:29:16
Matthias changed his password. ID: 4321, Date: 2018-12-13 13:29:20
Andri changed his password. ID: 6789, Date: 2018-12-13 16:03:20
